课程名称,学分
体育（2）,1.0
体育（2）,1.0
数据结构,3.0
数据结构,3.0
无人驾驶环境感知,2
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
工程实践与科技创新Ⅳ-J,2
行政诉讼法,2
婚姻家庭法,2
国际私法,2
财税法,2
英美文学选读,1.5
英语毕业论文,1
英语翻译基础（2）,1.5
英语口译,2
英语演讲与技巧,2
英语演讲与技巧,2
综合实践项目,4
国际经济学（2）,3
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
普通生物学,2
普通生物学,2
生物药剂与药物动力学,2
外国近现代建筑历史与理论,2
新闻学导论,3
ET创新实验,2
ET创新实验,2
ET创新实验,2
ET创新实验,2
ET创新实验,2
ET创新实验,2
大学英语（3）,3.0
大学英语（3）,3.0
数据结构,3.0
数据结构,3.0
数据结构,3.0
电磁能量,4
数据结构（荣誉）,3
数据结构（荣誉）,3
国际法,2
电子技术实验,3
电子技术实验,3
嵌入式系统原理与实验,4
嵌入式系统原理与实验,4
嵌入式系统原理与实验,4
物理学引论（A类）（1）,5
电工与电子技术（G）,4
电工与电子技术（G）,4
电工与电子技术（G类）实验,2
电工基础,3
计量经济学,3
法国历史概要,2
程序设计,3
宏观经济学,2
经济学原理,4
经济学原理,4
经济学原理,4
经济学原理,4
经济学原理,4
经济学原理,4
植物学,3
植物生理学,3
植物生理学实验,1.0
风险管理,2
基本电路理论,4.0
生物医学导论（荣誉）,3
当代中国,2
汉语应用文写作,3
核心阅读（I),3
大学物理（荣誉）（1）,5
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（4）,3.0
大学英语（4）,3.0
大学英语（4）,3.0
生态与演化,2
高等数学（A）（2）,4.0
高等数学（A）（2）,4.0
高等数学（A）（2）,4.0
高等数学（A）（2）,4.0
高等数学（A）（2）,4.0
高等数学（A）（2）,4.0
高等数学（A）（2）,4.0
高等数学（A）（2）,4.0
高等数学（A）（2）,4.0
操作系统（D类）,3
古希腊文明演绎,2
台湾研究,2
职业生涯发展与规划,2
职业生涯发展与规划,2
